time,time_diff,temp,tod,season,pressure,humidity,dew_pt,clouds,wind_speed,wind_deg,4020824211773201175,4025185137773201155,4067173146773201181,4091235214773201212,4015213417077320185,4010224513677320196,403037224773201139,406908213773201128,40024920777320136,40217218126773201172,405322121277320127,402272285877320170,401400620977320137,409061132773201254,4016624233773201214,40245178127773201199
1646996400,64800,0.4945982725581138,0.4782608695652174,0.9010989010989011,0.988360814742968,0.92,0.9544470818207205,0.38,0.19614147909967847,0.6583333333333333,25.7,25.48,25.36,25.92,25.81,24.8,25.14,25.7,-159.0,-159.0,-159.0,-159.0,25.36,25.81,25.25,25.59
1647000000,68400,0.5023467659066293,0.5217391304347826,0.9010989010989011,0.988360814742968,0.91,0.9552848366378106,0.33,0.1982851018220793,0.6416666666666667,26.83,26.49,26.6,26.71,26.71,25.81,26.38,27.5,-159.0,-159.0,-159.0,-159.0,27.05,26.94,26.49,26.6
1647003600,72000,0.5743327686283223,0.5652173913043478,0.9010989010989011,0.988360814742968,0.81,0.9593688913711252,0.6,0.17256162915326903,0.6194444444444445,32.0,32.11,35.6,31.66,30.31,30.76,31.77,32.9,-159.0,-159.0,-159.0,-159.0,35.26,33.91,40.21,31.66
1647007200,75600,0.6493181881300858,0.6086956521739131,0.9010989010989011,0.9873908826382153,0.72,0.963487852555152,0.34,0.21007502679528403,0.5861111111111111,45.72,46.29,45.39,42.46,44.83,45.5,45.05,45.5,44.71,45.5,43.7,41.45,44.83,44.6,44.49,43.7
1647010800,79200,0.7093065237314967,0.6521739130434783,0.9010989010989011,0.9873908826382153,0.65,0.9670134040770733,0.25,0.28510182207931406,0.5444444444444444,52.81,53.04,52.7,50.67,54.84,54.28,55.51,55.4,52.81,53.6,50.9,51.01,52.7,52.7,51.91,51.57
1647014400,82800,0.7582969978059821,0.6956521739130435,0.9010989010989011,0.98545101842871,0.6,0.9690728846690868,0.19,0.39228295819935693,0.5333333333333333,56.19,57.31,57.54,55.06,59.34,55.4,58.32,57.2,57.42,56.3,56.53,57.76,57.09,57.65,55.96,58.21
1647018000,86400,0.7962896103535424,0.7391304347826086,0.9010989010989011,0.9844810863239574,0.55,0.9698059201340407,0.15,0.4523043944265809,0.5416666666666666,60.57,60.91,61.25,59.56,61.81,58.89,61.59,60.8,60.91,59.9,59.0,61.59,60.46,61.03,59.9,62.38
1647021600,90000,0.8250340211625518,0.782608695652174,0.9010989010989011,0.9835111542192047,0.5,0.9691077911197988,0.14,0.4908896034297964,0.5611111111111111,62.71,62.94,62.94,62.04,64.63,61.36,63.05,61.7,63.16,62.6,61.14,63.61,62.49,63.72,61.03,64.51
1647025200,93600,0.8385313966728692,0.8260869565217391,0.9010989010989011,0.9825412221144519,0.48,0.9688634459648142,0.02,0.5594855305466238,0.5722222222222222,65.19,64.85,65.19,64.96,66.31,64.06,65.86,63.5,65.86,65.3,63.28,65.3,65.07,66.31,64.51,66.43
1647028800,97200,0.8392812508678869,0.8695652173913043,0.9010989010989011,0.9815712900096993,0.49,0.9697012007819045,0.12,0.5884244372990354,0.5611111111111111,67.66,66.65,67.1,65.19,67.77,65.64,66.99,66.2,68.0,68.9,67.1,68.0,66.09,66.76,65.52,68.68
1647032400,100800,0.8315327575193713,0.9130434782608695,0.9010989010989011,0.9806013579049466,0.53,0.9726333426417201,0.19,0.5712754555198285,0.5333333333333333,67.21,66.76,67.32,65.97,68.11,66.09,66.54,67.1,68.34,67.1,66.88,66.99,66.43,66.76,66.88,69.01
1647036000,104400,0.7962896103535424,0.9565217391304348,0.9010989010989011,0.9806013579049466,0.61,0.9752164199944149,0.39,0.5026795284030011,0.5055555555555555,66.31,64.63,66.31,64.51,66.65,64.85,65.75,67.1,66.88,67.1,67.1,65.75,65.41,66.99,64.85,68.11
1647039600,108000,0.7298025383953121,1.0,0.9010989010989011,0.9806013579049466,0.73,0.9754258586986875,0.51,0.37513397642015006,0.4888888888888889,58.78,57.76,58.21,57.88,58.1,57.2,57.88,59.0,59.11,59.0,58.55,58.1,58.44,58.66,57.99,59.11
1647043200,111600,0.6748132307606854,0.0,0.9120879120879121,0.9806013579049466,0.82,0.9734710974588103,0.59,0.30439442658092175,0.5416666666666666,54.5,53.94,54.05,53.71,54.05,53.26,54.16,55.4,54.16,54.5,53.38,54.05,54.84,54.5,53.94,54.28
