time, 2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1631144069.2473636, 79.02, 79.59, 78.8
1631144070.093891, 79.02, 79.59, 78.8
1631144070.9406123, 79.14, 79.59, 78.91
1631144071.787398, 79.14, 79.59, 78.8
1631144072.6341019, 79.14, 79.59, 78.8
1631144073.480907, 79.14, 79.59, 78.8
1631144074.3274972, 79.02, 79.59, 78.91
1631144075.1741726, 79.02, 79.7, 78.8
1631144076.0209968, 79.14, 79.7, 78.8
1631144076.867467, 79.14, 79.59, 78.91
1631144077.7142835, 79.14, 79.59, 78.8
1631144078.5608628, 79.14, 79.59, 78.8
1631144079.4073646, 79.02, 79.59, 78.8
1631144080.2541158, 79.14, 79.7, 78.8
1631144081.1008842, 79.14, 79.7, 78.8
1631144081.9471445, 79.14, 79.7, 78.8
1631144082.7939005, 79.14, 79.7, 78.91
1631144083.6404698, 79.14, 79.7, 78.8
1631144084.487403, 79.14, 79.7, 78.91
1631144085.333922, 79.14, 79.7, 78.8
1631144086.1808608, 79.14, 79.7, 78.8
1631144087.027357, 79.14, 79.7, 78.8
1631144087.87411, 79.14, 79.7, 78.91
1631144088.7208512, 79.14, 79.7, 78.8
1631144089.5674317, 79.14, 79.7, 78.8
1631144090.4139392, 79.14, 79.7, 78.91
1631144091.2606733, 79.14, 79.7, 78.8
1631144092.1073654, 79.14, 79.7, 78.8
1631144092.9539318, 79.14, 79.7, 78.91
1631144093.8006995, 79.14, 79.7, 78.8
1631144094.6469817, 79.14, 79.7, 78.8
1631144095.4937909, 79.14, 79.7, 78.8
1631144096.340442, 79.14, 79.7, 78.8
1631144097.1871765, 79.14, 79.7, 78.8
1631144098.0337992, 79.14, 79.7, 78.8
1631144098.8804495, 79.14, 79.7, 78.8
1631144099.7272117, 79.14, 79.7, 78.8
1631144100.5738754, 79.14, 79.7, 78.8
1631144101.420533, 79.14, 79.7, 78.8
1631144102.2671587, 79.14, 79.7, 78.8
1631144103.1138074, 79.25, 79.7, 78.8
1631144103.9604955, 79.14, 79.81, 78.8
1631144104.8070395, 79.14, 79.7, 78.8
1631144105.6536589, 79.14, 79.81, 78.8
1631144106.5003881, 79.14, 79.7, 78.8
1631144107.3468754, 79.14, 79.81, 78.8
1631144108.19353, 79.14, 79.7, 78.8
1631144109.0401723, 79.14, 79.81, 78.8
1631144109.886745, 79.25, 79.7, 78.8
1631144110.7335932, 79.14, 79.81, 78.91
1631144111.5803885, 79.14, 79.81, 78.8
1631144112.426965, 79.14, 79.81, 78.8
1631144113.2735553, 79.14, 79.7, 78.91
1631144114.1202931, 79.14, 79.81, 78.91
1631144114.9668338, 79.14, 79.81, 78.8
1631144115.8135815, 79.14, 79.81, 78.8
1631144116.6603117, 79.14, 79.81, 78.8
1631144117.5069017, 79.14, 79.7, 78.8
1631144118.3535173, 79.14, 79.81, 78.8
1631144119.2001364, 79.14, 79.81, 78.8
1631144120.051685, 79.14, 79.81, 78.8
1631144120.8932905, 79.25, 79.81, 78.8
1631144121.7399142, 79.25, 79.7, 78.8
1631144122.586573, 79.14, 79.81, 78.8
1631144123.4335225, 79.25, 79.81, 78.91
1631144124.280234, 79.25, 79.81, 78.91
1631144125.1267552, 79.25, 79.7, 78.91
1631144125.9734874, 79.25, 79.81, 78.8
1631144126.8200474, 79.25, 79.7, 78.8
1631144127.666627, 79.25, 79.81, 78.8
1631144128.5132573, 79.25, 79.7, 78.8
1631144129.3599021, 79.25, 79.81, 78.8
1631144130.206579, 79.25, 79.81, 78.8
1631144131.0533972, 79.25, 79.7, 78.8
1631144131.899975, 79.25, 79.7, 78.8
1631144132.7466142, 79.25, 79.81, 78.8
1631144133.5931258, 79.25, 79.81, 78.8
1631144134.4397085, 79.25, 79.81, 78.8
1631144135.2863011, 79.25, 79.81, 78.8
1631144136.13324, 79.25, 79.81, 78.8
1631144136.979944, 79.25, 79.81, 78.8
1631144137.8265512, 79.25, 79.81, 78.8
1631144138.6731145, 79.25, 79.81, 78.8
1631144139.519903, 79.25, 79.81, 78.8
1631144140.366602, 79.25, 79.81, 78.8
1631144141.2132607, 79.25, 79.81, 78.8
1631144142.0598314, 79.25, 79.81, 78.8
1631144142.9065685, 79.25, 79.81, 78.8
