time, 2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1632662592.3807778, 56.3, 54.39, 56.75
1632662593.2254546, 56.3, 54.39, 56.75
1632662594.0701475, 56.3, 54.39, 56.75
1632662594.9149177, 56.41, 54.39, 56.75
1632662595.7592616, 56.3, 54.39, 56.75
1632662596.603889, 56.3, 54.39, 56.75
1632662597.4486318, 56.3, 54.28, 56.75
1632662598.2936094, 56.3, 54.28, 56.75
1632662599.1383274, 56.3, 54.28, 56.75
1632662599.983005, 56.3, 54.28, 56.75
1632662600.8276587, 56.3, 54.28, 56.75
1632662601.6722636, 56.41, 54.39, 56.75
1632662602.5169444, 56.3, 54.28, 56.75
1632662603.3616052, 56.41, 54.28, 56.75
1632662604.2062945, 56.3, 54.28, 56.75
1632662605.0509903, 56.41, 54.28, 56.75
1632662605.89558, 56.3, 54.39, 56.75
1632662606.7403836, 56.3, 54.39, 56.75
1632662607.5850189, 56.3, 54.39, 56.75
1632662608.429399, 56.3, 54.28, 56.75
1632662609.2740514, 56.41, 54.28, 56.75
1632662610.1187966, 56.41, 54.28, 56.75
1632662610.9637358, 56.3, 54.28, 56.75
1632662611.8083289, 56.3, 54.28, 56.75
1632662612.6530595, 56.3, 54.39, 56.75
1632662613.497747, 56.3, 54.39, 56.75
1632662614.3422728, 56.3, 54.28, 56.75
1632662615.187253, 56.3, 54.39, 56.75
1632662616.0319352, 56.3, 54.28, 56.75
1632662616.8765693, 56.3, 54.39, 56.75
1632662617.721327, 56.41, 54.39, 56.75
1632662618.5660284, 56.3, 54.28, 56.75
1632662619.4105847, 56.41, 54.28, 56.86
1632662620.2554169, 56.3, 54.28, 56.75
1632662621.099847, 56.3, 54.28, 56.86
1632662621.9445417, 56.3, 54.28, 56.75
1632662622.789174, 56.3, 54.28, 56.75
1632662623.6341336, 56.3, 54.39, 56.75
1632662624.478644, 56.41, 54.28, 56.86
1632662625.3234744, 56.41, 54.28, 56.75
1632662626.1686661, 56.41, 54.28, 56.75
1632662627.0129592, 56.3, 54.28, 56.75
1632662627.8575988, 56.3, 54.28, 56.86
1632662628.7023737, 56.3, 54.28, 56.86
1632662629.5471215, 56.41, 54.28, 56.86
1632662630.39183, 56.41, 54.28, 56.86
1632662631.2364564, 56.3, 54.28, 56.75
1632662632.0811555, 56.3, 54.28, 56.86
1632662632.9257247, 56.3, 54.28, 56.75
1632662633.7702405, 56.3, 54.28, 56.86
1632662634.615095, 56.3, 54.28, 56.86
1632662635.4597433, 56.3, 54.28, 56.86
1632662636.3045943, 56.41, 54.28, 56.86
1632662637.1493506, 56.3, 54.28, 56.86
1632662637.994141, 56.3, 54.16, 56.75
1632662638.8386838, 56.3, 54.28, 56.86
1632662639.6835654, 56.3, 54.28, 56.75
1632662640.5281987, 56.3, 54.28, 56.75
1632662641.3729184, 56.3, 54.28, 56.75
1632662642.2175615, 56.3, 54.28, 56.75
1632662643.062268, 56.3, 54.28, 56.75
1632662643.9070194, 56.3, 54.28, 56.86
1632662644.751632, 56.3, 54.28, 56.86
1632662645.596267, 56.3, 54.16, 56.86
1632662646.4408329, 56.3, 54.28, 56.75
1632662647.2855222, 56.3, 54.28, 56.75
1632662648.1302335, 56.3, 54.28, 56.75
1632662648.9749076, 56.3, 54.16, 56.86
1632662649.819934, 56.3, 54.16, 56.86
1632662650.6648123, 56.41, 54.16, 56.86
1632662651.5094576, 56.3, 54.16, 56.75
1632662652.3542082, 56.3, 54.28, 56.86
1632662653.1989477, 56.3, 54.16, 56.75
1632662654.0435479, 56.41, 54.16, 56.75
1632662654.8883588, 56.3, 54.16, 56.75
1632662655.7330687, 56.3, 54.16, 56.75
1632662656.5777028, 56.3, 54.16, 56.75
1632662657.4223838, 56.3, 54.16, 56.75
1632662658.2672436, 56.3, 54.28, 56.75
1632662659.1119056, 56.3, 54.16, 56.75
1632662659.9564373, 56.3, 54.16, 56.75
1632662660.8010905, 56.3, 54.16, 56.75
1632662661.6458004, 56.3, 54.16, 56.75
1632662662.4908266, 56.3, 54.16, 56.75
1632662663.335578, 56.3, 54.16, 56.75
1632662664.1802585, 56.3, 54.16, 56.75
1632662665.0249486, 56.3, 54.16, 56.75
1632662665.8695474, 56.3, 54.16, 56.75
1632662666.7143295, 56.3, 54.16, 56.75
1632662667.5590506, 56.3, 54.16, 56.75
1632662668.4037538, 56.3, 54.16, 56.75
1632662669.248497, 56.3, 54.16, 56.75
1632662670.093341, 56.3, 54.05, 56.75
1632662670.9379451, 56.3, 54.05, 56.75
1632662671.7827632, 56.3, 54.05, 56.75
1632662672.6271954, 56.3, 54.05, 56.75
1632662673.4717836, 56.3, 54.05, 56.75
1632662674.3165567, 56.3, 54.05, 56.75
1632662675.1616502, 56.3, 54.05, 56.75
1632662676.0063255, 56.3, 54.05, 56.75
1632662676.8511345, 56.3, 54.16, 56.75
1632662677.6959152, 56.3, 54.05, 56.75
1632662678.5406387, 56.3, 54.05, 56.75
1632662679.3854215, 56.3, 54.05, 56.75
1632662680.2301085, 56.3, 54.05, 56.75
1632662681.0748725, 56.3, 54.05, 56.75
1632662681.9195595, 56.3, 54.05, 56.75
1632662682.7642705, 56.3, 54.05, 56.75
1632662683.608682, 56.3, 54.05, 56.75
1632662684.453843, 56.3, 54.05, 56.75
1632662685.2983716, 56.3, 54.05, 56.75
1632662686.143106, 56.3, 54.05, 56.75
1632662686.9878218, 56.3, 54.05, 56.86
1632662687.832863, 56.3, 54.05, 56.75
1632662688.6775403, 56.3, 54.05, 56.75
1632662689.5224712, 56.3, 54.05, 56.75
1632662690.367024, 56.3, 54.05, 56.75
1632662691.211863, 56.3, 54.05, 56.86
1632662692.056524, 56.3, 53.94, 56.75
1632662692.9014986, 56.3, 53.94, 56.86
1632662693.7460947, 56.3, 53.94, 56.75
1632662694.5909772, 56.3, 53.94, 56.75
1632662695.4356918, 56.3, 53.94, 56.86
1632662696.280487, 56.3, 53.94, 56.75
1632662697.125224, 56.3, 53.94, 56.86
1632662697.9698815, 56.3, 53.94, 56.86
1632662698.8145778, 56.3, 53.94, 56.75
1632662699.6594417, 56.3, 53.94, 56.86
1632662700.5041063, 56.3, 53.94, 56.75
1632662701.3490872, 56.3, 54.05, 56.86
1632662702.1936085, 56.3, 53.94, 56.75
1632662703.038835, 56.3, 53.94, 56.75
1632662703.8834376, 56.3, 53.94, 56.86
1632662704.7284076, 56.3, 53.94, 56.75
1632662705.5730777, 56.3, 53.94, 56.86
1632662706.4179578, 56.3, 53.94, 56.86
1632662707.2626815, 56.41, 53.94, 56.86
1632662708.107226, 56.3, 53.94, 56.86
1632662708.952142, 56.3, 53.94, 56.86
1632662709.7969656, 56.41, 53.94, 56.86
1632662710.6415615, 56.3, 53.94, 56.86
1632662711.4861887, 56.3, 53.94, 56.75
1632662712.3309789, 56.3, 53.94, 56.86
1632662713.1757538, 56.3, 53.94, 56.86
1632662714.020788, 56.3, 53.94, 56.86
1632662714.8656406, 56.3, 53.94, 56.86
1632662715.7103872, 56.3, 53.94, 56.86
1632662716.555078, 56.3, 53.94, 56.86
1632662717.399903, 56.3, 53.94, 56.86
1632662718.244594, 56.3, 53.94, 56.86
1632662719.0894766, 56.3, 53.94, 56.86
1632662719.9373937, 56.3, 53.94, 56.86
1632662720.7789795, 56.3, 53.94, 56.86
1632662721.6237142, 56.3, 53.94, 56.86
1632662722.4684167, 56.3, 53.94, 56.86
1632662723.3130503, 56.3, 53.94, 56.86
1632662724.1578274, 56.3, 53.94, 56.86
1632662725.002651, 56.3, 53.82, 56.86
1632662725.84739, 56.3, 53.82, 56.86
1632662726.6924512, 56.3, 53.82, 56.86
1632662727.5372064, 56.3, 53.82, 56.86
1632662728.3819659, 56.3, 53.94, 56.86
1632662729.2266793, 56.3, 53.94, 56.86
1632662730.0714846, 56.3, 53.82, 56.86
1632662730.91616, 56.3, 53.82, 56.86
1632662731.7609751, 56.3, 53.94, 56.86
1632662732.6058016, 56.3, 53.82, 56.86
1632662733.450528, 56.3, 53.82, 56.86
1632662734.295222, 56.3, 53.82, 56.86
1632662735.1401162, 56.3, 53.82, 56.86
1632662735.9848378, 56.3, 53.82, 56.86
1632662736.8293867, 56.3, 53.82, 56.86
1632662737.674107, 56.3, 53.82, 56.86
1632662738.5188437, 56.3, 53.82, 56.86
1632662739.3637872, 56.3, 53.82, 56.86
1632662740.2087002, 56.3, 53.82, 56.86
1632662741.053448, 56.19, 53.82, 56.86
1632662741.8981385, 56.3, 53.82, 56.86
1632662742.742954, 56.3, 53.82, 56.86
1632662743.58773, 56.3, 53.82, 56.86
1632662744.4326565, 56.3, 53.94, 56.86
1632662745.2772815, 56.3, 53.82, 56.86
1632662746.1222336, 56.3, 53.82, 56.86
1632662746.966965, 56.3, 53.82, 56.86
1632662747.8118255, 56.3, 53.82, 56.86
1632662748.6564314, 56.3, 53.82, 56.86
1632662749.5009508, 56.3, 53.82, 56.86
1632662750.345788, 56.3, 53.82, 56.86
1632662751.1905382, 56.3, 53.94, 56.86
1632662752.0356348, 56.3, 53.94, 56.86
1632662752.8804426, 56.3, 53.82, 56.86
1632662753.7251785, 56.3, 53.82, 56.86
1632662754.5700467, 56.3, 53.94, 56.86
1632662755.4148357, 56.3, 53.82, 56.86
1632662756.2595239, 56.3, 53.82, 56.86
1632662757.104277, 56.3, 53.94, 56.86
1632662757.9491837, 56.3, 53.82, 56.86
1632662758.794061, 56.3, 53.82, 56.86
1632662759.638854, 56.3, 53.82, 56.86
1632662760.4835725, 56.3, 53.82, 56.86
1632662761.3284144, 56.3, 53.94, 56.75
1632662762.172962, 56.3, 53.94, 56.86
1632662763.0178068, 56.3, 53.82, 56.86
1632662763.8625858, 56.3, 53.94, 56.75
1632662764.7075589, 56.3, 53.94, 56.75
1632662765.5525463, 56.19, 53.94, 56.86
1632662766.3972635, 56.3, 53.82, 56.75
1632662767.2422516, 56.3, 53.82, 56.75
1632662768.0870194, 56.3, 53.82, 56.86
1632662768.931703, 56.3, 53.94, 56.75
1632662769.776669, 56.3, 53.82, 56.86
1632662770.6213703, 56.3, 53.82, 56.86
1632662771.4662402, 56.3, 53.94, 56.86
1632662772.3109796, 56.3, 53.94, 56.86
1632662773.1558948, 56.3, 53.94, 56.86
1632662774.0007873, 56.3, 53.82, 56.86
1632662774.8453166, 56.3, 53.82, 56.86
1632662775.6900952, 56.19, 53.82, 56.86
1632662776.5349333, 56.19, 53.94, 56.86
1632662777.3798919, 56.19, 53.82, 56.86
1632662778.2248614, 56.19, 53.82, 56.86
1632662779.069659, 56.3, 53.82, 56.86
1632662779.914498, 56.19, 53.82, 56.86
1632662780.7591443, 56.19, 53.82, 56.86
1632662781.6040769, 56.19, 53.82, 56.86
1632662782.448776, 56.3, 53.82, 56.86
1632662783.293665, 56.3, 53.82, 56.86
1632662784.1385007, 56.19, 53.82, 56.86
1632662784.9833915, 56.19, 53.82, 56.86
1632662785.8279579, 56.19, 53.82, 56.86
1632662786.6728346, 56.19, 53.82, 56.86
1632662787.517371, 56.19, 53.82, 56.86
1632662788.3622396, 56.19, 53.82, 56.86
1632662789.207072, 56.19, 53.82, 56.86
1632662790.0522463, 56.19, 53.94, 56.86
1632662790.896873, 56.19, 53.82, 56.86
1632662791.741906, 56.19, 53.82, 56.86
1632662792.5866594, 56.19, 53.94, 56.86
1632662793.4315183, 56.19, 53.82, 56.86
1632662794.2763338, 56.19, 53.82, 56.86
1632662795.121236, 56.19, 53.82, 56.86
1632662795.9658132, 56.19, 53.82, 56.86
1632662796.8106601, 56.19, 53.82, 56.86
1632662797.6556232, 56.19, 53.82, 56.86
1632662798.500423, 56.19, 53.82, 56.86
1632662799.345171, 56.19, 53.82, 56.86
1632662800.189928, 56.19, 53.82, 56.86
1632662801.0346487, 56.3, 53.82, 56.86
1632662801.879457, 56.19, 53.82, 56.86
1632662802.7246397, 56.19, 53.82, 56.86
1632662803.5693858, 56.19, 53.94, 56.86
1632662804.4141564, 56.19, 53.82, 56.86
