time, 4020824211773201175, 4025185137773201155, 4067173146773201181, 4091235214773201212, 4015213417077320185, 4010224513677320196, 403037224773201139, 406908213773201128, 40024920777320136, 40217218126773201172, 405322121277320127, 402272285877320170, 401400620977320137, 409061132773201254, 4016624233773201214, 40245178127773201199
1646938353.28328, 47.75, 47.86, 47.86, 47.19, 49.21, 48.42, 49.66, 49.1, 48.54, 48.2, 48.42, 48.2, 48.2, 48.65, 47.19, 48.99
1646938412.968783, 46.85, 46.85, 47.19, 46.51, 47.75, 46.17, 47.75, 48.2, 47.19, 47.3, 47.53, 46.85, 47.75, 47.86, 46.85, 47.53
1646938472.6570516, 46.85, 46.51, 46.85, 46.4, 47.64, 45.95, 46.96, 48.2, 46.74, 47.3, 46.85, 46.74, 47.75, 47.64, 46.85, 47.41
1646938532.3494897, 46.29, 46.06, 46.74, 46.29, 47.64, 46.06, 47.19, 47.3, 46.63, 47.3, 46.29, 46.85, 47.08, 47.19, 46.51, 46.74
1646938592.0387182, 46.29, 46.29, 46.51, 46.06, 47.53, 46.51, 47.64, 47.3, 46.51, 47.3, 46.29, 46.4, 47.19, 47.19, 46.51, 46.85
1646938651.725572, 47.19, 46.51, 46.74, 46.4, 47.75, 46.63, 47.53, 48.2, 47.19, 47.3, 46.85, 46.85, 47.97, 48.09, 47.19, 47.75
1646938711.4100752, 47.75, 47.3, 47.53, 47.08, 48.2, 46.4, 47.64, 48.2, 47.41, 48.2, 46.74, 47.08, 48.65, 48.54, 47.41, 48.31
1646938771.091059, 47.3, 46.96, 47.3, 47.08, 48.09, 46.51, 47.75, 48.2, 47.08, 47.3, 47.08, 47.08, 48.31, 48.2, 47.19, 47.97
1646938830.760516, 47.41, 47.19, 47.41, 46.74, 48.42, 46.51, 47.41, 48.2, 47.53, 47.3, 47.3, 47.19, 47.53, 48.42, 46.63, 47.86
1646938890.4350429, 47.86, 47.64, 47.3, 47.19, 48.31, 46.96, 47.53, 48.2, 47.64, 48.2, 47.41, 48.09, 47.41, 48.42, 46.74, 47.86
1646938950.1118572, 47.64, 47.75, 47.64, 47.41, 48.31, 46.96, 47.53, 48.2, 47.97, 48.2, 47.3, 47.53, 47.64, 48.42, 46.96, 47.75
